head	relation	tail
netherlands	militaryalliance	uk
egypt	intergovorgs3	usa
jordan	relbooktranslations	usa
poland	timesincewar	ussr
uk	negativebehavior	ussr
poland	relintergovorgs	uk
usa	weightedunvote	india
china	accusation	india
uk	unweightedunvote	egypt
poland	embassy	netherlands
jordan	commonbloc1	ussr
cuba	relintergovorgs	indonesia
jordan	commonbloc2	israel
uk	intergovorgs3	usa
israel	commonbloc1	usa
uk	ngoorgs3	brazil
indonesia	commonbloc1	cuba
usa	embassy	netherlands
netherlands	exports3	uk
usa	economicaid	israel
egypt	booktranslations	usa
brazil	weightedunvote	uk
brazil	relexports	uk
india	relbooktranslations	uk
usa	intergovorgs	netherlands
uk	independence	cuba
egypt	reltreaties	china
china	negativebehavior	uk
usa	ngo	poland
uk	weightedunvote	netherlands
india	ngoorgs3	brazil
netherlands	commonbloc1	indonesia
usa	blockpositionindex	india
israel	embassy	poland
israel	commonbloc2	egypt
egypt	embassy	brazil
poland	embassy	cuba
burma	relintergovorgs	uk
uk	relexports	usa
egypt	relstudents	uk
brazil	intergovorgs	uk
indonesia	commonbloc1	china
indonesia	exports3	china
israel	embassy	netherlands
india	commonbloc1	cuba
cuba	commonbloc2	poland
china	aidenemy	usa
brazil	embassy	poland
jordan	eemigrants	usa
egypt	intergovorgs	usa
uk	officialvisits	poland
indonesia	timesincewar	netherlands
indonesia	unoffialacts	usa
brazil	intergovorgs	india
ussr	releconomicaid	poland
cuba	intergovorgs3	egypt
israel	exports3	usa
netherlands	commonbloc0	cuba
usa	ngo	egypt
india	intergovorgs	indonesia
indonesia	relintergovorgs	netherlands
burma	officialvisits	china
usa	intergovorgs3	brazil
india	accusation	china
poland	expeldiplomats	usa
egypt	relngo	uk
indonesia	students	china
usa	nonviolentbehavior	ussr
poland	reldiplomacy	indonesia
usa	negativebehavior	india
usa	independence	netherlands
netherlands	weightedunvote	india
poland	tourism	ussr
brazil	ngo	netherlands
uk	tourism	israel
netherlands	ngo	usa
uk	ngo	israel
usa	ngo	india
china	releconomicaid	egypt
netherlands	relbooktranslations	uk
india	timesinceally	ussr
poland	embassy	china
egypt	negativebehavior	usa
egypt	embassy	china
ussr	intergovorgs3	usa
china	timesincewar	uk
netherlands	weightedunvote	poland
egypt	weightedunvote	usa
uk	independence	poland
ussr	timesinceally	egypt
india	commonbloc1	netherlands
cuba	ngoorgs3	uk
jordan	intergovorgs3	egypt
jordan	timesincewar	israel
indonesia	reldiplomacy	ussr
egypt	timesinceally	netherlands
brazil	timesinceally	cuba
indonesia	conferences	india
uk	commonbloc1	jordan
usa	intergovorgs3	netherlands
egypt	commonbloc2	indonesia
usa	economicaid	jordan
uk	relexportbooks	egypt
israel	commonbloc1	poland
cuba	independence	poland
israel	weightedunvote	uk
india	relngo	uk
uk	intergovorgs	netherlands
usa	tourism	netherlands
poland	commonbloc0	usa
uk	releconomicaid	india
usa	embassy	indonesia
usa	treaties	egypt
ussr	relbooktranslations	uk
india	commonbloc2	jordan
china	ngoorgs3	uk
israel	relngo	uk
cuba	conferences	usa
uk	relintergovorgs	usa
cuba	embassy	egypt
china	militaryactions	usa
indonesia	booktranslations	usa
poland	ngo	usa
poland	accusation	china
uk	commonbloc2	netherlands
usa	exportbooks	india
egypt	commonbloc2	jordan
india	conferences	poland
china	booktranslations	uk
netherlands	relexports	uk
uk	tourism	ussr
china	relintergovorgs	netherlands
ussr	relintergovorgs	usa
israel	commonbloc1	ussr
ussr	boycottembargo	uk
cuba	commonbloc1	burma
brazil	timesinceally	india
israel	ngo	netherlands
poland	conferences	cuba
egypt	relintergovorgs	israel
